LocationFromNERflair,policereport_id
Glauberstraße,346
Hildburghauser Straße,346
Rot,346
Heinersdorfer Straße,346
Gotzkowskystraße,347
Moabit,347
Calvinstraße,347
Prenzlauer Berg,348
Schönhauser Allee,348
Gotzkowskybrücke,349
Levetzowstraße,349
Tiergarten,349
Hallesches Tor,350
Berlin,350
Peter-Hille-Straße,351
Friedrichshagen,351
Friedrichshain,352
Rigaer Straße,352
Grunewaldstraße,353
Berlin,353
Kleistpark,353
Schöneberg,353
Marienfelde,353
Gleditschstraße,353
Nunsdorfer Ring,353
Schloßstraße,354
Steglitz,354
Reinickendorf,355
Emmentaler Straße,355
Genter Straße,356
Gesundbrunnen,356
Karl-Marx-Straße,357
Rudow,357
Neukölln,357
Berlin,358
Keibelstraße,358
Adlershof,359
Tempelhof,360
Lichtenrader Damm,361
Barnetstraße,361
Sigismundstraße,362
Tiergarten,362
Reichpietschufer,362
Potsdamer Straße,362
Scharounstraße,362
Hellersdorf,363
Louis-Lewin-Straße,363
Friedrichshain,364
Wedding,365
Lindower Straße,365
Columbiadamm,366
Tempelhof,366
Reinickendorf,367
Emmentaler Straße,367
Helmholzstraße,368
Charlottenburg,368
Cauerstraße,368
Müggelheim,369
Müggelheimer Damm,369
Berlin,370
Alexanderplatz,370
Reinickendorf,371
Residenzstraße,371
Lichtenberg,372
Paul-Grasse-Straße,373
Hosemannstraße,373
Prenzlauer Berg,373
Ostseestraße,373
Albertstraße,374
Schöneberg,374
Dominicusstraße,374
Friedrichshain,375
Hausburgstraße,375
Brandenburg,376
Friedrichstraße,376
Falkenhagener Feld,377
Wittgensteiner Weg,377
Berlins,378
Schöneberg,379
Potsdamer Straße,379
John-Locke-Straße,380
Mahlsdorf,381
Kohlisstraße,381
Friedrichstraße,382
Schlesische Straße,383
Schlesischen Straße,383
Oberbaumstraße,383
Falckensteinstraße,383
Cuvrystraße,383
Skalitzer Straße,383
Schlesisches Tor,383
Kreuzberg,383
Alexanderstraße,384
Saalestraße,385
Neukölln,385
Lichtenberg,386
Herzbergstraße,386
Heerstraße,387
Charlottenburg,387
Brandenburg,388
Dietzgenstraße,388
Berlin,388
Pankow,388
Siegener Straße,389
Falkenseer Chaussee,389
Spandau,390
Berlin,390
Moabit,390
Falkenseer Chaussee,390
Alt-Moabit,390
Falkenseer Platz,390
Zeppelinstraße,390
Wilmersdorf,391
Fechnerstraße,391
Leibnizstraße,392
Charlottenburg,392
Berolinastraße,393
Moll,393
Lübars,394
Berliner Straße,394
Am Freibad,394
Am Vierrutenberg,394
Charlottenburg,395
Meinekestraße,395
Schöneberg,396
Wittenbergplatzes,396
Gropiusstadt,397
Schöneberg,398
Friedrich-Gerlach-Brücke,398
Alt-Mahlsdorf,399
Mahlsdorf,399
Neuenhagen,399
Spandau,400
Charlottenburg,400
Brandenburg,400
Berlin,400
Falkensee,400
Wilmersdorf,400
Lotte-Lenya-Bogen,402
Charlottenburg,402
Israel,402
Brand,403
Borsigwalde,403
Borsigwalder Weg,403
Straßmannstraße,404
Friedrichshain,404
Brunnenstraße,405
Brand,406
Johannisthal,406
Gotthardstraße,407
Reinickendorf,407
Holländer Straße,407
Falkenhagener Feld,408
Stadtrandstraße,408
Oberschöneweide,409
Wilhelminenhofstraße,409
Edisonstraße,409
Berliner Straße,410
Pankow,410
Brandenburg,412
Wustermark,412
Nauen,412
Friedrichshain,412
Ludwigsfelde,412
Prenzlauer Berg,413
Kreuzberg,414
Reichenberger Straße,414
Kottbusser Tor,414
Schöneberg,415
Frobenstraße,415
Barnetstraße,416
Friedrichsfelde,417
Frankfurter Allee,417
Alt-Friedrichsfelde,417
Friedrich-Gerlach-Brücke,418
Schöneberg,418
Friedrichshain,419
Rigaer Straße,419
Schönefeld,420
Neukölln,420
Flensburg,420
Britzer Tunnel,420
Spandau,421
Petzoldweg,421
Seegefelder Straße,421
Berliner Straße,422
Pankow,422
Leopoldplatz,423
Schulstraße,423
Wedding,423
Zoologischer Garten,424
Waggon,424
Charlottenburg,424
Tegel,425
Berlin,425
Malmöer Straße,426
Prenzlauer Berg,426
Berlin,426
Goeckestraße,427
Alt-Hohenschönhausen,427
Landsberger Allee,427
Marienfelde,429
Marienfelder Allee,429
Alt-Marzahn,430
Pintschallee,431
Britz,431
Auguste-Victoria-Allee,432
Reinickendorf,432
Hechelstraße,432
Alexanderplatz,433
Osloer Straße,434
Prinzenallee,434
Gesundbrunnen,434
Wröhmännerpark,435
Spandau,435
Schöneberg,436
Tempelhof,436
BAB 103,436
Sachsendamm,436
Baumschulenweg,437
Baumschulenstraße,437
Groß-Glienicker Weg,438
Gatow,438
Revaler Straße,439
Skalitzer Straße,439
Oberbaumbrücke,439
Friedrichshain,439
Warschauer Straße,439
Friedrichsfelde,440
Am Tierpark,440
Sewanstraße,440
Otto-Schmirgal-Straße,440
Berlin,441
Märkischen Allee,442
Wilmersdorf,443
Brandenburgische Straße,443
Konstanzer Straße,443
Landsberger Allee,444
Friedrichshain,444
Süderbrokweg,445
Prenzlauer Berg,445
Breitscheidplatz,446
Messe Nord,446
Charlottenburg,446
Westend,446
Lichtenberg,447
Neuköllner Weigandufer,447
Darßer Straße,447
Zum Hechtgraben,447
Neu-Hohenschönhausen,447
Neukölln,447
Wildenbruchstraße,447
Ribnitzer Straße,447
Martin-Luther-Straße,448
Motzstraße,448
Schöneberger Motzstraße,448
Allerstraße,449
Kienitzer Straße,449
Weisestraße,449
Neukölln,449
Alt-Buckow,450
Buckow,450
Charlottenburg,451
Neue Kantstraße,451
Brand,452
Alt-Lietzow,452
Charlottenburg,452
Steglitz-Zehlendorf,453
Teltower Damm,453
Moabit,453
M 13,453
Kirchstraße,453
Grün,453
Zehlendorf,453
Thomasiusstraße,453
Togostraße,453
Helgoländer Ufer,453
Wedding,453
Seestraße,453
Potsdamer Straße,453
Rudolf-Virchow-Klinikum,453
Karl-Marx-Allee,454
Berlin,454
Adlershof,454
Nipkowstraße,454
Friedrichshain,454
Marienfelde,455
Marienfelder Allee,455
Hanielweg,455
Schulstraße,456
Wedding,456
Marienfelde,457
Tirschenreuther Ring,457
Schöneberg,458
Fuggerstraße,458
Schöneberg,459
Bautzener Straße,459
Yorckstraße,459
Flaschenhalspark,459
Wilmersdorf,460
Blissestraße,460
Paretzer Straße,460
Kleistpark,461
Schöneberg,461
Dominicusstraße,461
Schöneberg,462
Rosenthal,463
Müllenhoffstraße,464
Kreuzberg,464
Mertensstraße,465
Alt-Mariendorf,466
Müllerstraße,466
Wedding,466
Lichtenberg,467
Karl-Marx-Allee,467
Schulze-Boysen-Straße,467
Frankfurter Allee,467
Friedrichshain,468
Schützenstraße,468
